Type,Relateret produkt nummer,Varenummer,Produktnavn,Indskriv varianter adskilt med komma,Farve,Str.,Smagsvariant,Kort beskrivelse,Lang beskrivelse,vægt,Pris,Special pris,kategori
simple,2015-kildemoes-logic-sport-7gear-herre-config,YKK3475502,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Dark Blue Matt,55,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-7gear-herre-config,YKK3475902,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Dark Blue Matt,59,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-7gear-herre-config,YKK3475503,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Soft Black,55,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-7gear-herre-config,YKK3475903,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Soft Black,59,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
config,,2015-kildemoes-logic-sport-7gear-dame-config,2015 Kildemoes Logic Sport 7 Gear,,,,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,"DAME, Sportscykler"
simple,2015-kildemoes-logic-sport-7gear-dame-config,YKK3574701,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Black Pink Matt,47,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-7gear-dame-config,YKK3575101,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Black Pink Matt,51,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-7gear-dame-config,YKK3575501,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Black Pink Matt,55,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-7gear-dame-config,YKK3575901,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Black Pink Matt,59,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-7gear-dame-config,YKK3575102,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Crystal Orange Matt,51,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-7gear-dame-config,YKK3575502,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Crystal Orange Matt,55,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-7gear-dame-config,YKK3575103,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Misty Blue Matt,51,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-7gear-dame-config,YKK3575503,2015 Kildemoes Logic Sport 7 Gear,"str, farve",Misty Blue Matt,55,,Smart sportscykel med indvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 7 Shimano Nexus gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,999.00",,
config,,2015-kildemoes-logic-sport-8gear-herre-config,2015 Kildemoes Logic Sport 8 Gear,,,,,Smart sportscykel med udvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,899.00",,"HERRE, Sportscykler"
simple,2015-kildemoes-logic-sport-8gear-herre-config,YKK3485501,2015 Kildemoes Logic Sport 8 Gear,"str, farve",Black Blue Matt,55,,Smart sportscykel med udvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,899.00",,
simple,2015-kildemoes-logic-sport-8gear-herre-config,YKK3485901,2015 Kildemoes Logic Sport 8 Gear,"str, farve",Black Blue Matt,59,,Smart sportscykel med udvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,899.00",,
config,,2015-kildemoes-logic-sport-8gear-dame-config,2015 Kildemoes Logic Sport 8 Gear,,,,,Smart sportscykel med udvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,899.00",,"DAME, Sportscykler"
simple,2015-kildemoes-logic-sport-8gear-dame-config,YKK3585101,2015 Kildemoes Logic Sport 8 Gear,"str, farve",Black Rose Matt,51,,Smart sportscykel med udvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,899.00",,
simple,2015-kildemoes-logic-sport-8gear-dame-config,YKK3585501,2015 Kildemoes Logic Sport 8 Gear,"str, farve",Black Rose Matt,55,,Smart sportscykel med udvendige gear og rullebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, IM35 Rullebremse for og bag, X3 dæk 700x28c, Indfarvet skærme.",10kg,"5,899.00",,
config,,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-herre-config,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,,,,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,"HERRE, Sportscykler"
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-herre-config,YKK3685101,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Soft Midnight Sky,51,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-herre-config,YKK3685501,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Soft Midnight Sky,55,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-herre-config,YKK3685901,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Soft Midnight Sky,59,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-herre-config,YKK3686201,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Soft Midnight Sky,62,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-herre-config,YKK3685502,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Crystal Grey Matt,55,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-herre-config,YKK3685902,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Crystal Grey Matt,59,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-herre-config,YKK3685503,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Black Gold Matt,55,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-herre-config,YKK3685903,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Black Gold Matt,59,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
config,,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-dame-config,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,,,,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,"DAME, Sportscykler"
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-dame-config,YKK3784701,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Black Pink Matt,47,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-dame-config,YKK3785101,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Black Pink Matt,51,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-dame-config,YKK3785501,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Black Pink Matt,55,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-dame-config,YKK3785901,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Black Pink Matt,59,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-dame-config,YKK3785102,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Crystal White,51,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-dame-config,YKK3785502,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Crystal White,55,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-dame-config,YKK3785103,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Opal Green,51,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-8gear-hydraulisk-disc-dame-config,YKK3785503,2015 Kildemoes Logic Sport 8 Gear Hydralisk Disc,"str, farve",Opal Green,55,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 8 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c, Indfarvet skærme.",10kg,"5,999.00",,
config,,2015-kildemoes-logic-sport-16gear-mekanisk-disc-herre-config,2015 Kildemoes Logic Sport 16 Gear Mekanisk Disc,,,,,Smart sportscykel med udvendige gear og skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, mekaniske skivebremser, X3 dæk 700x25c.",10kg,"5,999.00",,"HERRE, Sportscykler"
simple,2015-kildemoes-logic-sport-16gear-mekanisk-disc-herre-config,YKK3465501,2015 Kildemoes Logic Sport 16 Gear Mekanisk Disc,"str, farve",Platinum Matt,55,,Smart sportscykel med udvendige gear og skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, mekaniske skivebremser, X3 dæk 700x25c.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-16gear-mekanisk-disc-herre-config,YKK3465901,2015 Kildemoes Logic Sport 16 Gear Mekanisk Disc,"str, farve",Platinum Matt,59,,Smart sportscykel med udvendige gear og skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, mekaniske skivebremser, X3 dæk 700x25c.",10kg,"5,999.00",,
config,,2015-kildemoes-logic-sport-16gear-mekanisk-disc-dame-config,2015 Kildemoes Logic Sport 16 Gear Mekanisk Disc,,,,,Smart sportscykel med udvendige gear og skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, mekaniske skivebremser, X3 dæk 700x25c.",10kg,"5,999.00",,"DAME, Sportscykler"
simple,2015-kildemoes-logic-sport-16gear-mekanisk-disc-dame-config,YKK3565101,2015 Kildemoes Logic Sport 16 Gear Mekanisk Disc,"str, farve",Platinum Matt,51,,Smart sportscykel med udvendige gear og skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, mekaniske skivebremser, X3 dæk 700x25c.",10kg,"5,999.00",,
simple,2015-kildemoes-logic-sport-16gear-mekanisk-disc-dame-config,YKK3565501,2015 Kildemoes Logic Sport 16 Gear Mekanisk Disc,"str, farve",Platinum Matt,55,,Smart sportscykel med udvendige gear og skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, mekaniske skivebremser, X3 dæk 700x25c.",10kg,"5,999.00",,
config,,2015-kildemoes-logic-sport-16gear-hydraulisk-disc-herre-config,2015 Kildemoes Logic Sport 16 Gear Hydralisk Disc,,,,,Smart sportscykel med udvendige gear og Hydrauliske skivebremser,"Logic Sport har kendetegn fra racercyklens kortere og stejlere stelgeometri, giver følelsen af en levende og hurtigt cykel. Alu stel, 16 Shimano Claris gear, hydrauliske skivebremser, X3 dæk 700x25c.",10kg,"6,299.00",,"HERRE, Sportscykler"
